OBJECTNUMMER;PROJECTID;PROJECTNAAM;JAARBOUW;JAAROPL;OPDRACHTGEVER;ARCHITECT;PROJECTTYPE;WEBSITE;FASE_ID;FASE;HUUR_SOC;HUUR_MIDDEL;HUUR_DUUR;KOOP;ONBEKEND_HUURKOOP;EENGEZINS;APP;ONBEKEND_EENAPP;STUDJONG;TOTAAL_BRUTO;VERVANGING;TOTAAL_NETTO;STADSDEEL_CODE;GEBIED_CODE;COORDS;LNG;LAT;
198;"1459 02";"OVZ Energietuin / Watertuin";2014;2016;"Eigen Haard";"KOW Concept";"Vervanging";"";"7";"Opgeleverd";12;0;0;170;0;0;182;0;0;182;-186;-4;F;DX09;"MULTIPOLYGON(((4.839112 52.361925,4.839109 52.362042,4.838158 52.362031,4.838179 52.361304,4.838655 52.361309,4.838651 52.361426,4.838367 52.361422,4.838352 52.361917,4.839112 52.361925)),((4.839274 52.360563,4.839263 52.360927,4.838392 52.360917,4.838394 52.360846,4.839169 52.360854,4.839173 52.360692,4.838398 52.360684,4.838402 52.360554,4.839274 52.360563)),((4.83913 52.361314,4.839115 52.361848,4.838982 52.361846,4.838997 52.361361,4.838865 52.36136,4.838866 52.361311,4.83913 52.361314)))";"4,838716";"52,361298";
199;"1461 01";"GO - Spoorstrook Zuid XL";2017;2018;"Eigen Haard";"KOW Concept";"Functiewijziging";"http://www.kow.nl/?project=spoorstrook-zuid-xl-amsterdam";"6";"In aanbouw";66;34;0;0;0;0;100;0;0;100;0;100;F;DX09;"MULTIPOLYGON(((4.836403 52.361679,4.836395 52.361944,4.83542 52.361933,4.835428 52.361674,4.836403 52.361679)),((4.835199 52.361693,4.835185 52.362178,4.834803 52.362174,4.834818 52.361689,4.835199 52.361693)),((4.836391 52.362079,4.836387 52.362214,4.835412 52.362203,4.835416 52.362068,4.836391 52.362079)))";"4,835603";"52,361944";
200;"0635 02";"`t Woudt";2015;2017;"Hillen & Roosen bv";"PBV Architecten (Roel van Bakel)";"Inbreiding";"";"6";"In aanbouw";0;124;0;0;0;0;124;0;0;124;0;124;F;DX09;"POLYGON((4.838845 52.348636,4.838843 52.348761,4.837089 52.348753,4.837085 52.349127,4.836915 52.349126,4.836921 52.348621,4.838845 52.348636))";"4,83788";"52,348874";
201;"1915 01";"WLG Smartlofts (kavel A)";2016;2017;"CPO (Collectief Part.Opdr.schap)";"Space&Matter bv";"Functiewijziging";"";"6";"In aanbouw";0;0;0;31;0;0;31;0;0;31;0;31;F;DX09;"POLYGON((4.845011 52.350032,4.844695 52.350028,4.8447 52.349937,4.844773 52.34994,4.844777 52.349847,4.845014 52.349845,4.845011 52.350032))";"4,8448545";"52,3499385";
202;"1595 05";"Zuidblok fase 5";2018;2019;"Woonstichting de Key";"";"Vervanging";"";"5";"Investeringsbesluit genomen";75;0;0;0;0;0;75;0;75;75;-36;39;F;DX09;"POLYGON((4.838503 52.347886,4.83829 52.347885,4.838294 52.347288,4.838509 52.347285,4.838507 52.347419,4.838503 52.347886))";"4,8383995";"52,3475855";
203;"1464 01";"Wagenaarstraat (D13.07)";2012;2013;"Woonstichting de Key";"Lijbers Architects";"Functiewijziging";"";"7";"Opgeleverd";15;0;0;0;0;0;15;0;0;15;0;15;M;DX13;"POLYGON((4.930163 52.363667,4.930143 52.363783,4.92959 52.363661,4.929662 52.363555,4.930163 52.363667))";"4,9298765";"52,363669";
204;"1465 01";"Mercatorpark";2020;2025;"";"";"Functiewijziging";"";"2";"Verkenning / Planvorming";0;0;0;0;750;0;750;0;0;750;0;750;E;DX05;"POLYGON((4.84795 52.369996,4.847666 52.370597,4.846949 52.370459,4.845956 52.370332,4.845194 52.370268,4.844686 52.370232,4.844665 52.37013,4.844002 52.3701,4.844005 52.369884,4.842778 52.369858,4.842781 52.369614,4.844306 52.369648,4.846184 52.369731,4.847277 52.369871,4.84795 52.369996))";"4,845364";"52,3701055";
205;"1466 01";"Het Broederhuis";2015;2017;"Stadgenoot";"Vera Yanovshtchinsky Arch.";"Functiewijziging";"";"6";"In aanbouw";30;0;0;2;0;0;32;0;0;32;0;32;E;DX05;"POLYGON((4.851158 52.364405,4.851146 52.364729,4.851052 52.364727,4.851059 52.364517,4.851019 52.364517,4.851019 52.364522,4.850797 52.364519,4.850797 52.364514,4.850756 52.364513,4.850749 52.364724,4.850655 52.364723,4.850665 52.364399,4.851158 52.364405))";"4,8509065";"52,364564";
206;"1466 02";"Augustinusschool";2015;2016;"Particulier";"Vera Yanovshtchinsky Arch.";"Functiewijziging";"";"6";"In aanbouw";0;31;0;0;0;0;31;0;0;31;0;31;E;DX05;"POLYGON((4.851146 52.364727,4.851146 52.364729,4.851139 52.364983,4.850957 52.364981,4.850958 52.364993,4.850792 52.364991,4.850791 52.365016,4.850799 52.365016,4.850796 52.365109,4.850745 52.365108,4.850743 52.365146,4.851132 52.36515,4.85113 52.365236,4.850922 52.365233,4.850921 52.365244,4.850809 52.365242,4.850809 52.365232,4.850601 52.365229,4.850614 52.364891,4.850999 52.364896,4.851008 52.364727,4.851146 52.364727))";"4,8508735";"52,3649855";
207;"0314 01";"Marktplein Zuidz. BSC cl. 6a/e";2019;2020;"";"";"Inbreiding";"";"5";"Investeringsbesluit genomen";0;0;0;0;99;0;99;0;0;99;0;99;T;DX20;"POLYGON((4.958254 52.316208,4.958153 52.316331,4.956719 52.315827,4.957156 52.31536,4.957357 52.315422,4.957021 52.315785,4.958254 52.316208))";"4,9574865";"52,3158455";
208;"1145 05";"Soc. Medisch Cluster toren 6f";2018;2020;"Eigen Haard";"Vera Yanovshtchinsky Arch.";"Inbreiding";"";"5";"Investeringsbesluit genomen";0;0;0;14;0;0;14;0;0;14;0;14;T;DX20;"POLYGON((4.958703 52.316586,4.95851 52.316795,4.958199 52.316683,4.958403 52.31648,4.958703 52.316586))";"4,958451";"52,3166375";
209;"1295 04";"Banne Centrum De Ankerplaats";2015;2016;"Banne Binnen cv";"";"Vervanging";"";"7";"Opgeleverd";0;0;0;34;0;34;0;0;0;34;0;34;N;DX17;"POLYGON((4.917807 52.406585,4.917356 52.40678,4.916765 52.406315,4.917202 52.406111,4.917807 52.406585))";"4,917286";"52,4064455";
210;"0897 04";"Gershwin townhouses";2015;2017;"G&S Vastgoed";"";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;6;0;0;6;0;0;6;0;6;K;DX11;"POLYGON((4.877827 52.335537,4.877502 52.335914,4.876922 52.335912,4.876925 52.335535,4.877827 52.335537))";"4,8773745";"52,3357245";
211;"0897 05";"Gershwin The Gustav";2018;2019;"Zuidschans";"Fujio Yamamoto Arch. & Associates";"Functiewijziging";"https://thegustav.nl/";"5";"Investeringsbesluit genomen";0;0;0;144;0;0;144;0;0;144;0;144;K;DX11;"POLYGON((4.876917 52.336559,4.876037 52.336557,4.87604 52.336071,4.876701 52.336073,4.876699 52.336405,4.876919 52.336406,4.876917 52.336559))";"4,876478";"52,336315";
212;"0897 06";"Gershwin Xavier";2017;2019;"Zuidschans";"KENK architecten bv";"Functiewijziging";"";"6";"In aanbouw";0;0;114;45;0;0;159;0;0;159;0;159;K;DX11;"POLYGON((4.875817 52.336556,4.875156 52.336554,4.87516 52.336069,4.87582 52.336071,4.875817 52.336556))";"4,875488";"52,3363125";
213;"1553 02";"Lot In Noord";2013;2015;"Ymere";"";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;98;0;52;46;0;0;98;0;98;N;DX17;"POLYGON((4.914002 52.408729,4.9133 52.409046,4.913392 52.409123,4.913102 52.409246,4.9124 52.408676,4.913387 52.408234,4.914002 52.408729))";"4,913201";"52,40874";
214;"0897 09";"Gershwin Waterblokken c3 k9";2014;2017;"Royaal Zuid";"Crepain Binst Architecture nv";"Functiewijziging";"";"6";"In aanbouw";58;0;0;0;0;0;58;0;0;58;0;58;K;DX11;"POLYGON((4.8723 52.335898,4.87164 52.335897,4.871643 52.335519,4.872303 52.335521,4.8723 52.335898))";"4,8719715";"52,3357085";
215;"0897 11";"Intermezzo (Gershwin c1k10)";2014;2017;"Royaal Zuid";"Ateliers Lion Architectes";"Functiewijziging";"";"6";"In aanbouw";0;0;46;133;0;0;179;0;0;179;0;179;K;DX11;"POLYGON((4.872295 52.336546,4.871635 52.336544,4.871639 52.336058,4.872299 52.33606,4.872295 52.336546))";"4,871967";"52,336302";
216;"0897 12";"Summertime (c4 k11)";2015;2016;"AM Wonen bv / Bouwinvest";"Meyer & Van Schooten arch. bv";"Functiewijziging";"";"7";"Opgeleverd";0;81;13;0;0;0;94;0;0;94;0;94;K;DX11;"POLYGON((4.87142 52.335896,4.87076 52.335894,4.870763 52.335516,4.871423 52.335518,4.87142 52.335896))";"4,8710915";"52,335706";
217;"0897 13";"Gershwin Brothers (kavel 15)";2016;2018;"Goldstar";"Loof & van Stigt Architecten (LEVS)";"Functiewijziging";"";"6";"In aanbouw";0;85;0;0;0;0;85;0;0;85;0;85;K;DX11;"POLYGON((4.86966 52.335891,4.869219 52.335889,4.869222 52.335512,4.869663 52.335513,4.86966 52.335891))";"4,869441";"52,3357015";
218;"0897 14";"Gershwin Brothers (kavel 13)";2016;2018;"Goldstar";"Loof & van Stigt Architecten (LEVS)";"Functiewijziging";"";"6";"In aanbouw";0;75;0;0;0;0;75;0;0;75;0;75;K;DX11;"POLYGON((4.87054 52.335893,4.86988 52.335891,4.869883 52.335514,4.870543 52.335516,4.87054 52.335893))";"4,8702115";"52,3357035";
219;"0897 15";"Summertime (c4 k12)";2015;2016;"AM Wonen bv / Bouwinvest";"Atelier Zeinstra Van der Pol bv";"Functiewijziging";"";"7";"Opgeleverd";0;90;13;0;0;0;103;0;0;103;0;103;K;DX11;"POLYGON((4.871415 52.336543,4.870755 52.336541,4.870759 52.336056,4.871419 52.336058,4.871415 52.336543))";"4,871087";"52,3362995";
220;"0897 16";"900 Mahler (c4 k14)";2013;2016;"G&S Vastgoed";"INBO Architecten BNA";"Functiewijziging";"";"7";"Opgeleverd";0;80;0;46;0;0;126;0;0;126;0;126;K;DX11;"POLYGON((4.870535 52.33654,4.869875 52.336538,4.869878 52.336053,4.870539 52.336055,4.870535 52.33654))";"4,870207";"52,3362965";
221;"2133 01";"Admiraal de Ruijterweg 410";2018;2019;"Rochdale";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";36;0;0;0;0;0;36;0;0;36;0;36;E;DX04;"POLYGON((4.850382 52.383444,4.850126 52.383555,4.850001 52.383447,4.850029 52.383435,4.849939 52.383357,4.850208 52.383241,4.850326 52.383344,4.850264 52.383371,4.850295 52.383398,4.850317 52.383388,4.850382 52.383444))";"4,8501605";"52,383398";
