OBJECTNUMMER;PROJECTID;PROJECTNAAM;JAARBOUW;JAAROPL;OPDRACHTGEVER;ARCHITECT;PROJECTTYPE;WEBSITE;FASE_ID;FASE;HUUR_SOC;HUUR_MIDDEL;HUUR_DUUR;KOOP;ONBEKEND_HUURKOOP;EENGEZINS;APP;ONBEKEND_EENAPP;STUDJONG;TOTAAL_BRUTO;VERVANGING;TOTAAL_NETTO;STADSDEEL_CODE;GEBIED_CODE;COORDS;LNG;LAT;
1;"0013 01";"Blom";2014;2015;"Buro Amsterdam";"Ronald Janssen Architecten";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;12;0;0;12;0;0;12;0;12;A;DX02;"POLYGON((4.903597 52.372872,4.903085 52.373159,4.902827 52.372989,4.903349 52.372697,4.903597 52.372872))";"4,903212";"52,372928";
2;"0020 01";"Tabak II";2015;2017;"Woonstichting de Key";"Loco-Motief Amsterdam";"Functiewijziging";"";"6";"In aanbouw";0;0;0;42;0;0;42;0;0;42;0;42;A;DX01;"POLYGON((4.890222 52.37188,4.890203 52.371915,4.890175 52.371907,4.890152 52.371974,4.890144 52.371984,4.890176 52.371994,4.890137 52.372041,4.889745 52.371918,4.889793 52.371863,4.889831 52.371875,4.889854 52.371798,4.889831 52.371875,4.889535 52.371778,4.88951 52.371631,4.88959 52.37164,4.889606 52.371587,4.890181 52.37165,4.890139 52.371742,4.890169 52.371746,4.890149 52.371819,4.890209 52.371831,4.890187 52.371872,4.890222 52.37188))";"4,889866";"52,371814";
3;"0040 01";"Plantage Muidergracht 105-107";2015;2016;"Werkmij De Binnenstad bv";"Bureau De Binnenstad bv";"Functiewijziging";"";"6";"In aanbouw";0;0;0;2;0;0;2;0;0;2;0;2;A;DX02;"POLYGON((4.915785 52.36419,4.915588 52.364258,4.915733 52.364414,4.915543 52.364478,4.915442 52.364368,4.915366 52.364394,4.915416 52.364448,4.915316 52.364482,4.915322 52.364489,4.91531 52.364493,4.915211 52.364383,4.915398 52.364319,4.915204 52.364119,4.915294 52.364089,4.915331 52.36413,4.915322 52.364133,4.915345 52.364159,4.915341 52.364168,4.915368 52.364159,4.915419 52.364214,4.915516 52.364181,4.915477 52.364138,4.91567 52.364065,4.915785 52.36419))";"4,9154945";"52,364279";
4;"0113 01";"Bloem / Bloemstraat 96,100-112";2015;2016;"Ymere";"Adviesburo Bouwen in A`dam";"Vervanging";"";"7";"Opgeleverd";0;0;0;5;0;0;5;0;0;5;-5;0;A;DX01;"MULTIPOLYGON(((4.880028 52.373895,4.879913 52.374076,4.879687 52.374023,4.879796 52.373844,4.880028 52.373895)),((4.8802 52.373935,4.880135 52.374042,4.880101 52.374035,4.880112 52.374018,4.880067 52.374009,4.880122 52.373919,4.8802 52.373935)))";"4,8799435";"52,37396";
5;"0140 01";"2e Constantijn  Huygensstr. 48";2016;2017;"Particulier";"Eigen beheer";"Functiewijziging";"";"6";"In aanbouw";0;0;0;3;0;0;3;0;0;3;0;3;E;DX05;"POLYGON((4.873225 52.362743,4.873188 52.362797,4.87298 52.362744,4.872999 52.362716,4.87305 52.362729,4.873067 52.362704,4.873225 52.362743))";"4,8731025";"52,3627505";
6;"0178 01";"Oostpoort kavel 7 (OZ)";2012;2014;"O.C.P. (Ontw.comb. Polderweggebied)";"HENK Architecten";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;30;0;0;30;0;0;30;0;30;M;DX13;"POLYGON((4.929048 52.35581,4.928862 52.356026,4.928398 52.355925,4.928528 52.355719,4.928649 52.355623,4.929048 52.35581))";"4,928723";"52,3558245";
7;"0180 01";"Amstelcampus Leeuwenhoekwon.";2016;2018;"Woonstichting de Key";"";"Functiewijziging";"";"6";"In aanbouw";69;0;0;0;0;0;69;0;69;69;0;69;M;DX13;"POLYGON((4.908709 52.358509,4.908624 52.358657,4.907846 52.358489,4.907935 52.358336,4.908709 52.358509))";"4,9082775";"52,3584965";
8;"0685 01";"De Steltloper";2016;2019;"Wonam bv";"Dam & Partners Architecten bv";"Functiewijziging";"";"6";"In aanbouw";0;126;0;0;0;0;126;0;0;126;0;126;M;DX14;"POLYGON((4.945186 52.37489,4.944267 52.374961,4.944152 52.374398,4.945071 52.374328,4.945186 52.37489))";"4,944669";"52,3746445";
9;"0202 01";"ZBE ~ RI-Oost blok 1ab";2015;2017;"De Alliantie / Lingotto";"";"Functiewijziging";"";"7";"Opgeleverd";44;0;100;0;0;0;144;0;0;144;0;144;M;DX16;"POLYGON((4.965578 52.375727,4.964805 52.376145,4.964707 52.376066,4.964476 52.375846,4.965201 52.375441,4.965578 52.375727))";"4,965027";"52,375793";
10;"0208 01";"Houthaven De Spreeuwen (1a)";2017;2017;"Ymere";"Geusebroek Stefanova arch.bureau";"Functiewijziging";"";"6";"In aanbouw";69;0;0;0;0;0;69;0;0;69;0;69;E;DX03;"POLYGON((4.877681 52.393596,4.877273 52.393891,4.876623 52.393553,4.877032 52.393259,4.877681 52.393596),(4.877048 52.39338,4.876823 52.393543,4.877256 52.393769,4.877483 52.393606,4.877048 52.39338))";"4,877152";"52,393575";
11;"0240 01";"Grafische school (Peelstraat)";2011;2012;"St. Ouderenzorg Rivierenbuurt";"";"Functiewijziging";"";"7";"Opgeleverd";0;35;0;0;0;0;35;0;0;35;0;35;K;DX12;"POLYGON((4.90021 52.339413,4.899386 52.339451,4.899373 52.339265,4.900185 52.339227,4.90021 52.339413))";"4,8997915";"52,339339";
12;"0337 01";"Wiener & Co";2014;2016;"Heijmans Projektontwikkeling";"Arons & Gelauff Architecten";"Functiewijziging";"";"6";"In aanbouw";0;0;0;75;0;0;75;0;0;75;0;75;A;DX02;"POLYGON((4.923257 52.36968,4.922691 52.370019,4.922476 52.369883,4.922414 52.369872,4.922369 52.369845,4.922343 52.369861,4.921624 52.369368,4.921543 52.369291,4.922092 52.369076,4.921923 52.368892,4.921925 52.36889,4.921974 52.368872,4.922701 52.369333,4.922688 52.36934,4.922699 52.369347,4.922728 52.36936,4.922819 52.369417,4.922826 52.369416,4.923039 52.369547,4.923041 52.369546,4.92306 52.369558,4.923053 52.369563,4.923074 52.369576,4.923081 52.369572,4.923257 52.36968))";"4,9224";"52,3694455";
13;"0481 01";"Baanbrugsteeg 1A-C";2014;2014;"Particulier";"Eigen beheer";"Inbreiding";"";"7";"Opgeleverd";0;0;0;1;0;0;1;0;0;1;0;1;A;DX01;"POLYGON((4.88503 52.383691,4.885009 52.383704,4.884998 52.383697,4.884958 52.38372,4.884825 52.383631,4.884895 52.383594,4.88503 52.383691))";"4,8849275";"52,383657";
14;"0489 01";"Schoolstraat (AE47/AE48)";2011;2013;"Eigen Haard";"Atelier Zeinstra Van der Pol bv";"Vervanging";"";"7";"Opgeleverd";12;0;8;0;0;0;20;0;0;20;-32;-12;E;DX05;"POLYGON((4.862016 52.358788,4.861804 52.359095,4.861606 52.359038,4.861833 52.358743,4.862016 52.358788))";"4,861811";"52,358919";
15;"0599 01";"Spijtellaantje";2016;2017;"Ymere";"";"Inbreiding";"";"7";"Opgeleverd";0;2;0;2;0;4;0;0;0;4;0;4;K;DX10;"POLYGON((4.848105 52.346311,4.848092 52.346495,4.847985 52.346492,4.847998 52.346308,4.848105 52.346311))";"4,848045";"52,3464015";
16;"0600 06";"De Bongerd ~ st. 6 (Ensemble)";2019;2020;"O.C. De Bongerd bv";"Arch.bureau Paul de Ruiter bv";"Inbreiding";"";"5";"Investeringsbesluit genomen";19;0;0;57;0;0;76;0;0;76;0;76;N;DX17;"MULTIPOLYGON(((4.902462 52.411414,4.902283 52.411522,4.902102 52.41141,4.902281 52.411302,4.902462 52.411414)),((4.902833 52.411111,4.90269 52.411237,4.902479 52.411148,4.902622 52.411021,4.902833 52.411111)),((4.903548 52.41061,4.90334 52.410696,4.903195 52.410566,4.903403 52.41048,4.903548 52.41061)),((4.903222 52.41087,4.90306 52.410987,4.902866 52.410887,4.903028 52.410769,4.903222 52.41087)),((4.902311 52.411147,4.90218 52.411255,4.902018 52.411181,4.902149 52.411073,4.902311 52.411147)),((4.903138 52.410521,4.902991 52.410622,4.902841 52.41054,4.902988 52.410439,4.903138 52.410521)),((4.902787 52.410768,4.902648 52.410872,4.902493 52.410794,4.902632 52.41069,4.902787 52.410768)),((4.903433 52.410353,4.903284 52.410415,4.903165 52.410307,4.903313 52.410245,4.903433 52.410353)),((4.902953 52.41066,4.902851 52.410734,4.902679 52.410644,4.902781 52.41057,4.902953 52.41066)),((4.902463 52.411033,4.902367 52.41111,4.902187 52.411027,4.902284 52.41095,4.902463 52.411033)),((4.902585 52.410902,4.902485 52.410979,4.902346 52.410913,4.902447 52.410835,4.902585 52.410902)))";"4,902783";"52,4108835";
17;"0600 09";"De Bongerd ~ deelgebied 2a";2011;2012;"O.C. De Bongerd bv";"HM Architekten";"Inbreiding";"";"7";"Opgeleverd";22;0;0;44;0;66;0;0;0;66;0;66;N;DX17;"MULTIPOLYGON(((4.901815 52.406899,4.90112 52.407365,4.901019 52.407309,4.901714 52.406842,4.901815 52.406899)),((4.90159 52.406622,4.900949 52.407053,4.900848 52.406997,4.901489 52.406566,4.90159 52.406622)),((4.900925 52.407627,4.900783 52.407651,4.900576 52.407182,4.900718 52.407159,4.900925 52.407627)),((4.901405 52.406441,4.90087 52.4068,4.90077 52.406744,4.901304 52.406385,4.901405 52.406441)),((4.901185 52.406173,4.900704 52.406496,4.900603 52.40644,4.901084 52.406117,4.901185 52.406173)),((4.900647 52.406998,4.900505 52.407021,4.900344 52.406657,4.900486 52.406634,4.900647 52.406998)),((4.901007 52.405987,4.900633 52.406238,4.900531 52.406182,4.900905 52.405931,4.901007 52.405987)))";"4,9010795";"52,406791";
18;"0600 10";"De Bongerd ~ deelgeb.3a fase 1";2016;2017;"O.C. De Bongerd bv";"";"Inbreiding";"";"6";"In aanbouw";8;0;0;22;0;30;0;0;0;30;0;30;N;DX17;"MULTIPOLYGON(((4.904585 52.408996,4.903597 52.409745,4.90334 52.409165,4.903488 52.40914,4.903633 52.409468,4.903586 52.409476,4.903647 52.409614,4.903763 52.409526,4.903731 52.40951,4.904479 52.408944,4.904585 52.408996)),((4.904332 52.408891,4.904264 52.408963,4.903714 52.408769,4.903783 52.408697,4.904332 52.408891)))";"4,9039625";"52,409221";
19;"0617 01";"Tde B Andreas Schelfhoutstraat";2014;2015;"De Alliantie Amsterdam";"";"Functiewijziging";"";"7";"Opgeleverd";15;0;0;0;0;0;15;0;0;15;0;15;K;DX10;"POLYGON((4.852827 52.357309,4.852823 52.357475,4.852542 52.357474,4.852546 52.357307,4.852827 52.357309))";"4,8526845";"52,357391";
20;"0621 01";"Nieuwdok (B2-2 fase 1)";2015;2017;"Biesterbos Groep bv";"Moke Architecten";"Functiewijziging";"";"7";"Opgeleverd";380;0;0;0;0;0;380;0;380;380;0;380;N;DX18;"POLYGON((4.889338 52.404543,4.888601 52.404903,4.888104 52.404502,4.888804 52.404159,4.889338 52.404543))";"4,888721";"52,404531";
21;"0633 01";"no 1 in de 2e van Swinden";2012;2014;"Ymere";"Han van Zwieten architecten BNA";"Vervanging";"";"7";"Opgeleverd";0;0;0;18;0;0;18;0;0;18;-30;-12;M;DX13;"POLYGON((4.929199 52.362306,4.929126 52.36241,4.928406 52.362252,4.928486 52.362138,4.929199 52.362306))";"4,9288025";"52,362274";
22;"0634 01";"OVN Middengeb. Noord F1 huur";2012;2013;"Eigen Haard";"";"Vervanging";"";"7";"Opgeleverd";57;29;0;0;0;0;86;0;0;86;-64;22;F;DX09;"MULTIPOLYGON(((4.83807 52.366764,4.838051 52.367391,4.837846 52.367389,4.837864 52.366761,4.83807 52.366764)),((4.838049 52.367465,4.83803 52.368092,4.837825 52.36809,4.837844 52.367462,4.838049 52.367465)),((4.838812 52.367975,4.838808 52.3681,4.83825 52.368094,4.838254 52.367968,4.838812 52.367975)))";"4,8383185";"52,3674305";
23;"0647 01";"Tabak I";2015;2017;"Woonstichting de Key";"Dik Smeding arch.buro bv";"Niet bekend";"";"6";"In aanbouw";0;0;0;27;0;0;27;0;0;27;0;27;A;DX01;"POLYGON((4.890202 52.371486,4.889853 52.37145,4.889839 52.371499,4.890018 52.371517,4.89 52.371581,4.889639 52.371541,4.889487 52.371527,4.889464 52.37146,4.889434 52.371313,4.889712 52.371342,4.889724 52.371298,4.889814 52.371308,4.889805 52.37134,4.889926 52.371352,4.88993 52.371335,4.88989 52.371331,4.889894 52.371316,4.890174 52.371345,4.890183 52.371392,4.889828 52.371354,4.889816 52.371396,4.890192 52.371436,4.890202 52.371486))";"4,889818";"52,3714395";
24;"0656 01";"Groenmarkt";2018;2020;"HBB Groep / E. Oostmeijer / Eigen Haard";"R. Janssen / B. Jongerius";"Vervanging";"";"5";"Investeringsbesluit genomen";13;0;0;26;0;0;39;0;0;39;-1;38;A;DX01;"POLYGON((4.876463 52.370782,4.87634 52.370954,4.876099 52.370896,4.875788 52.371313,4.875113 52.371146,4.87528 52.370774,4.875376 52.370645,4.876149 52.370836,4.876229 52.370723,4.876463 52.370782))";"4,875788";"52,370979";
25;"0696 01";"De Smaragd";2014;2016;"De Alliantie Amsterdam";"M3H Architecten";"Vervanging";"";"7";"Opgeleverd";30;22;0;49;0;0;101;0;0;101;-89;12;M;DX14;"MULTIPOLYGON(((4.933078 52.36151,4.932566 52.361515,4.932551 52.361506,4.932454 52.361507,4.932439 52.361529,4.932462 52.361535,4.93243 52.361584,4.932407 52.361578,4.932357 52.361653,4.932495 52.361684,4.932527 52.361633,4.932572 52.361643,4.932581 52.361629,4.932616 52.361637,4.932608 52.36165,4.932827 52.3617,4.932761 52.361807,4.932174 52.361671,4.932162 52.361656,4.932316 52.361428,4.932339 52.361428,4.932339 52.361426,4.933076 52.36142,4.933078 52.36151)),((4.93369 52.36159,4.933616 52.36159,4.933616 52.361611,4.933543 52.361611,4.933543 52.361555,4.933583 52.361533,4.933582 52.361505,4.933604 52.361505,4.933602 52.361415,4.933689 52.361414,4.93369 52.36159)))";"4,932926";"52,3616105";
26;"0716 04";"Eenhoorn 3 (Rudolf Dieselbrt)";2018;2019;"Ymere";"";"Vervanging";"";"5";"Investeringsbesluit genomen";58;0;0;0;0;0;58;0;0;58;-31;27;M;DX15;"POLYGON((4.922 52.35081,4.921501 52.35112,4.920968 52.350798,4.921467 52.350488,4.922 52.35081),(4.921469 52.350615,4.921176 52.350797,4.9215 52.350993,4.921792 52.350811,4.921469 52.350615))";"4,921484";"52,350804";
27;"0208 06";"Houthaven Pier2 (fase 3)";2018;2020;"BPD (Bouwfonds Ontwikkeling)";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;0;58;0;58;0;0;0;58;0;58;E;DX03;"MULTIPOLYGON(((4.882276 52.395379,4.882166 52.395457,4.881815 52.395276,4.881854 52.395248,4.881686 52.395161,4.881647 52.395188,4.881138 52.394924,4.881161 52.394907,4.881134 52.394892,4.88122 52.39483,4.882276 52.395379)),((4.882071 52.395526,4.881962 52.395605,4.880906 52.395056,4.880992 52.394995,4.881019 52.395009,4.881043 52.394992,4.881553 52.395257,4.881514 52.395285,4.881682 52.395372,4.881721 52.395344,4.882071 52.395526)),((4.881097 52.394767,4.881011 52.394829,4.880983 52.394814,4.88096 52.394831,4.880285 52.394481,4.880309 52.394464,4.880281 52.39445,4.880367 52.394388,4.881097 52.394767)),((4.880869 52.394931,4.880783 52.394993,4.880053 52.394614,4.880139 52.394553,4.880166 52.394567,4.88019 52.39455,4.880863 52.3949,4.88084 52.394917,4.880869 52.394931)))";"4,8811645";"52,3949965";
28;"0208 07";"Houthaven Nestor / Life (3b)";2017;2019;"VORM / Porten Development";"van Aken Archtecten";"Functiewijziging";"";"6";"In aanbouw";39;0;0;92;0;0;131;0;0;131;0;131;E;DX03;"POLYGON((4.880001 52.393102,4.879871 52.393375,4.879204 52.393384,4.878613 52.393078,4.879173 52.392673,4.880001 52.393102),(4.879201 52.392876,4.878944 52.393061,4.879288 52.393239,4.879694 52.393233,4.879733 52.393152,4.879201 52.392876))";"4,879307";"52,3930285";
29;"0746 01";"Braspenning (AR38.03)";2015;2016;"Eigen Haard";"";"Vervanging";"";"7";"Opgeleverd";16;32;0;0;0;0;48;0;0;48;-45;3;M;DX14;"POLYGON((4.943891 52.365853,4.943887 52.366052,4.942475 52.366044,4.942476 52.365843,4.943891 52.365853))";"4,943183";"52,3659475";
30;"2046 01";"Rhapsody in West";2017;2018;"M.J. de Nijs & zn. bv";"Tangram Architecten bv";"Inbreiding";"";"6";"In aanbouw";0;240;0;0;0;0;240;0;0;240;0;240;E;DX04;"MULTIPOLYGON(((4.844002 52.37928,4.843815 52.379306,4.843738 52.379245,4.843734 52.379157,4.843757 52.379053,4.843675 52.378975,4.843605 52.378873,4.84359 52.378752,4.843619 52.378671,4.843526 52.378593,4.843483 52.378512,4.843473 52.378431,4.843493 52.378362,4.84365 52.378338,4.844002 52.37928)),((4.843413 52.378326,4.842944 52.378408,4.842888 52.378482,4.842804 52.378546,4.842661 52.378572,4.842586 52.378349,4.843376 52.378224,4.843413 52.378326)),((4.84349 52.379291,4.843428 52.379362,4.843224 52.379367,4.843004 52.379329,4.843033 52.379248,4.843133 52.379185,4.843282 52.379175,4.843413 52.379216,4.84349 52.379291)),((4.843073 52.378658,4.843044 52.378739,4.842977 52.378799,4.842894 52.378856,4.842773 52.378819,4.842703 52.378744,4.842737 52.378647,4.842903 52.378587,4.843024 52.378624,4.843073 52.378658)),((4.843212 52.379006,4.843206 52.37906,4.84315 52.379127,4.843056 52.379157,4.84293 52.379076,4.842843 52.378981,4.84291 52.378931,4.843004 52.378901,4.843152 52.378942,4.843212 52.379006)))";"4,843294";"52,3787955";
31;"0798 01";"Kortvoort (Mi Oso)";2019;2020;"Eigen Haard / ERA contour bv";"Geurst & Schulze Architecten";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;75;51;0;51;75;0;0;126;0;126;T;DX21;"POLYGON((4.973181 52.315283,4.97265 52.315883,4.971762 52.315589,4.972295 52.31499,4.973181 52.315283))";"4,9724715";"52,3154365";
32;"1241 01";"Kunst (Willemsstraat 2-12)";2018;2019;"Particulier";"Dik Smeding arch.buro bv";"Vervanging";"";"5";"Investeringsbesluit genomen";0;0;0;2;0;0;2;0;0;2;-2;0;A;DX01;"POLYGON((4.885999 52.381516,4.88594 52.381559,4.885854 52.381498,4.885794 52.381564,4.885694 52.381528,4.885646 52.381519,4.885635 52.381538,4.885597 52.38153,4.885626 52.381459,4.885623 52.381457,4.885856 52.381491,4.885999 52.381516))";"4,885798";"52,3815105";
33;"1355 01";"Elandshof";2016;2017;"Kennemerland Beheer bv";"Group A";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;12;0;0;12;0;0;12;-17;-5;A;DX01;"POLYGON((4.881037 52.37062,4.880908 52.37078,4.880884 52.370773,4.880825 52.370849,4.880817 52.370848,4.880794 52.370875,4.880625 52.370825,4.880652 52.370792,4.880378 52.370711,4.880561 52.370477,4.881037 52.37062))";"4,8807075";"52,370676";
34;"0839 01";"Lelylaan  ~ Little Manhattan";2015;2017;"International Campus AG (IC)";"Studioninedots (HvdN)";"Inbreiding";"";"6";"In aanbouw";869;0;0;0;0;0;869;0;590;869;0;869;F;DX09;"MULTIPOLYGON(((4.835931 52.357547,4.835586 52.357543,4.835009 52.357551,4.83501 52.357389,4.835641 52.357388,4.83552 52.356927,4.835445 52.356936,4.835455 52.356963,4.835115 52.357013,4.835047 52.356839,4.8354 52.356793,4.83541 52.356816,4.835492 52.356805,4.835485 52.356782,4.835751 52.356747,4.835931 52.357547)),((4.835362 52.357332,4.835227 52.357347,4.835137 52.357071,4.835265 52.357053,4.835362 52.357332)))";"4,83547";"52,357149";
35;"0863 01";"Kerkstraat 403";2018;2018;"Particulier";"Bouwkundig Adviesbureau R.O.B.";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;0;1;0;0;1;0;0;1;0;1;A;DX02;"POLYGON((4.899699 52.363131,4.899613 52.363289,4.899515 52.363271,4.899597 52.363112,4.899699 52.363131))";"4,899607";"52,3632005";
36;"0898 01";"Carte Blanche fase 1";2015;2017;"Latei bv / De Alliantie";"";"Functiewijziging";"";"7";"Opgeleverd";12;0;0;40;0;40;12;0;0;52;0;52;F;DX06;"POLYGON((4.821023 52.372326,4.820433 52.372984,4.819775 52.372848,4.819579 52.372362,4.820948 52.372131,4.821023 52.372326))";"4,820301";"52,3725575";
37;"1455 01";"Mandelapark Oostzijde";2020;2026;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";70;0;0;0;270;0;340;0;0;340;0;340;T;DX20;"POLYGON((4.969118 52.310301,4.963186 52.31672,4.961977 52.3163,4.967911 52.309881,4.969118 52.310301))";"4,9655475";"52,3133005";
38;"1455 02";"Mandelapark Westzijde";2022;2025;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";90;0;0;0;350;0;0;440;0;440;0;440;T;DX20;"POLYGON((4.962323 52.309882,4.958589 52.313965,4.957784 52.313667,4.961518 52.309605,4.962323 52.309882))";"4,9600535";"52,311785";
39;"0947 01";"Warmelo";2015;2016;"PO (Particuler Opdr.schap)";"diverse";"Inbreiding";"";"6";"In aanbouw";0;0;0;2;0;2;0;0;0;2;0;2;K;DX11;"MULTIPOLYGON(((4.858429 52.331248,4.858291 52.33127,4.85828 52.331244,4.858261 52.331247,4.858225 52.33116,4.858381 52.331135,4.858429 52.331248)),((4.858415 52.331036,4.858277 52.331057,4.858266 52.331031,4.858248 52.331034,4.858211 52.330947,4.858368 52.330922,4.858415 52.331036)))";"4,85832";"52,331096";
40;"0948 01";"De Klencke / Terras op Zuid";2014;2016;"Particulier";"NL Architects";"Functiewijziging";"";"6";"In aanbouw";0;0;0;50;0;0;50;0;0;50;0;50;K;DX11;"POLYGON((4.885916 52.333555,4.885001 52.333551,4.885003 52.333343,4.885905 52.333343,4.885916 52.333555))";"4,8854585";"52,333449";
41;"0968 01";"De Bouwmeester blok 2 t/m 4";2015;2016;"St. Woonzorg Nederland";"DP 6 Architectuurstudio";"Inbreiding";"";"7";"Opgeleverd";135;0;0;0;0;0;135;0;0;135;0;135;F;DX09;"POLYGON((4.824562 52.354457,4.824176 52.355044,4.823664 52.354925,4.823496 52.355205,4.823773 52.355276,4.823589 52.355625,4.823369 52.355584,4.823478 52.35536,4.823185 52.355283,4.823486 52.35475,4.824047 52.354878,4.824256 52.354539,4.822872 52.354232,4.822629 52.354686,4.822377 52.35463,4.822719 52.354061,4.82442 52.354432,4.824562 52.354457))";"4,8234695";"52,354843";
42;"0969 01";"Louis Bouwmeesterstraat 80";2017;2019;"PO (Particuler Opdr.schap)";"Eigen beheer";"Functiewijziging";"";"6";"In aanbouw";0;0;0;12;0;12;0;0;0;12;0;12;F;DX09;"MULTIPOLYGON(((4.824554 52.352382,4.824225 52.352375,4.824225 52.352031,4.824559 52.352033,4.824554 52.352382)),((4.824944 52.352378,4.82463 52.352382,4.824638 52.35203,4.824949 52.352032,4.824944 52.352378)))";"4,824587";"52,352206";
43;"0799 05";"K-midden blok EF / Metroblok";2019;2022;"";"";"Inbreiding";"";"5";"Investeringsbesluit genomen";0;0;0;0;100;0;100;0;0;100;0;100;T;DX21;"POLYGON((4.981538 52.317225,4.981086 52.317674,4.979592 52.317102,4.979973 52.316672,4.981538 52.317225))";"4,980565";"52,317173";
44;"0600 13";"De Bongerd ~ deelgebied 4a";2017;2019;"O.C. De Bongerd bv";"";"Inbreiding";"";"6";"In aanbouw";32;0;0;84;0;116;0;0;0;116;0;116;N;DX17;"MULTIPOLYGON(((4.903819 52.406324,4.902492 52.406715,4.902427 52.406641,4.903505 52.406324,4.903526 52.406351,4.903659 52.406312,4.903546 52.406252,4.903514 52.406274,4.903093 52.406053,4.903182 52.40599,4.903819 52.406324)),((4.90247 52.406719,4.902246 52.406792,4.901498 52.405936,4.901618 52.405897,4.902254 52.406625,4.902358 52.406591,4.90247 52.406719)),((4.901525 52.405791,4.901405 52.40583,4.900716 52.405043,4.900875 52.404968,4.901014 52.405077,4.900927 52.405106,4.901525 52.405791)),((4.903041 52.406109,4.902204 52.406386,4.902139 52.406313,4.902976 52.406035,4.903041 52.406109)),((4.902674 52.405997,4.902046 52.406205,4.901981 52.406132,4.902609 52.405923,4.902674 52.405997)),((4.901562 52.40514,4.901473 52.405203,4.900991 52.40495,4.90108 52.404887,4.901562 52.40514)),((4.902365 52.405747,4.901807 52.405932,4.901741 52.405858,4.9023 52.405673,4.902365 52.405747)),((4.902924 52.405855,4.902835 52.405918,4.902414 52.405697,4.902503 52.405633,4.902924 52.405855)),((4.902233 52.405492,4.902144 52.405555,4.901722 52.405334,4.901811 52.40527,4.902233 52.405492)),((4.901997 52.405635,4.901648 52.405751,4.901583 52.405677,4.901932 52.405561,4.901997 52.405635)),((4.901689 52.405384,4.90141 52.405477,4.901345 52.405403,4.901624 52.405311,4.901689 52.405384)))";"4,9022675";"52,4058395";
45;"1031 01";"1e Oosterparkstraat 88-126  O1";2017;2018;"Stadgenoot";"Fenna Oorthuys Architect";"Vervanging";"";"6";"In aanbouw";13;0;0;26;0;0;39;0;0;39;-30;9;M;DX13;"POLYGON((4.913223 52.356646,4.913083 52.356855,4.911799 52.356534,4.911939 52.356324,4.913223 52.356646))";"4,912511";"52,3565895";
46;"1087 01";"Stadionplein Noordblok";2014;2016;"Bouwinvest";"Dam & Partners Architecten bv";"Inbreiding";"";"7";"Opgeleverd";30;0;70;0;0;0;100;0;0;100;0;100;K;DX10;"POLYGON((4.85819 52.344383,4.858043 52.344778,4.856992 52.344606,4.857156 52.344229,4.85819 52.344383))";"4,857591";"52,3445035";
47;"0202 02";"ZBE ~ RI-Oost blok 2a";2018;2020;"PO (Particuler Opdr.schap)";"Eigen beheer";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;0;10;0;10;0;0;0;10;0;10;M;DX16;"POLYGON((4.966587 52.375198,4.965683 52.375679,4.965587 52.375606,4.966491 52.37513,4.966587 52.375198))";"4,966087";"52,3754045";
48;"0202 03";"Zilt The Block (ZBE ~ blok 2b)";2016;2017;"De Alliantie / AM Wonen bv";"";"Functiewijziging";"";"6";"In aanbouw";0;0;0;12;0;12;0;0;0;12;0;12;M;DX16;"POLYGON((4.966302 52.374997,4.965416 52.375464,4.965327 52.375402,4.966206 52.374929,4.966302 52.374997))";"4,9658145";"52,3751965";
49;"0202 04";"ZBE ~ RI-Oost blok 3a";2014;2016;"PO (Particuler Opdr.schap)";"";"Functiewijziging";"";"6";"In aanbouw";0;0;0;27;0;11;16;0;0;27;0;27;M;DX16;"POLYGON((4.968277 52.374301,4.966973 52.374994,4.966876 52.374926,4.968181 52.374233,4.968277 52.374301))";"4,9675765";"52,3746135";
50;"1178 01";"Middeneiland (IJburg 2) (1)";2022;2024;"";"";"Uitbreiding";"";"5";"Investeringsbesluit genomen";0;0;0;0;400;0;0;400;0;400;0;400;M;DX16;"POLYGON((5.020133 52.35668,5.020023 52.357542,5.015499 52.357326,5.016032 52.356656,5.016066 52.356651,5.016087 52.35664,5.016098 52.356627,5.016103 52.356605,5.016088 52.356584,5.016809 52.355676,5.020133 52.35668))";"5,017816";"52,356609";
51;"1628 01";"Elzenhagen Zuid fase 1";2020;2021;"CZAN Ontwikkeling bv";"";"Inbreiding";"";"2";"Verkenning / Planvorming";0;0;0;0;220;0;0;220;0;220;0;220;N;DX19;"POLYGON((4.928625 52.403293,4.926042 52.404124,4.924708 52.403123,4.924022 52.401483,4.926315 52.4007,4.928625 52.403293))";"4,9263235";"52,402412";
